id,type,description,units,common_name,utc_min_date_time,utc_max_date_time,resolution,aggregation
76,pans,1000.0*(PAN[1]+PANX[1]+OPAN[1]+MAPAN[1]),ppbV,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
27,panx,1000.0*PANX[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
25,par,1000.0*PAR[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
106,pblh,PBL[5],m,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
68,pm10,PMIJ[0]+ATOTK[0],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
88,pm25_ca,ACAJ[1]*PM25AC[4]+ACAK[0]*PM25CO[4],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
83,pm25_cl,ACLI[1]*PM25AT[4]+ACLJ[1]*PM25AC[4]+ACLK[1]*PM25CO[4],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
84,pm25_ec,AECI[1]*PM25AT[4]+AECJ[1]*PM25AC[4],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
124,pm25_frm,PM25_TOT[0]-(PM25_NO3_loss[0]+PM25_NH4_loss[0])+0.24*(PM25_SO4[0]+PM25_NH4[0]-PM,ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
82,pm25_hp,(AH3OPI[1]*PM25AT[4]+AH3OPJ[1]*PM25AC[4]+AH3OPK[1]*PM25CO[4])*1.0/19.0,ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
87,pm25_k,AKJ[1] *PM25AC[4]+AKK[0] *PM25CO[4],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
86,pm25_mg,AMGJ[1]*PM25AC[4]+AMGK[0]*PM25CO[4],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
85,pm25_na,ANAI[1]*PM25AT[4]+ANAJ[1]*PM25AC[4]+ANAK[0]*PM25CO[4],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
89,pm25_nh4,ANH4I[1]*PM25AT[4]+ANH4J[1]*PM25AC[4]+ANH4K[1]*PM25CO[4],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
121,pm25_nh4_loss,PM25_NO3_loss[0]*(18/62),ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
90,pm25_no3,ANO3I[1]*PM25AT[4]+ANO3J[1]*PM25AC[4]+ANO3K[1]*PM25CO[4],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
119,pm25_no3_loss,max_NO3_loss[0]<=PM25_NO3[0] ? max_NO3_loss[0] : PM25_NO3[0],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
91,pm25_oc,APOCI[1]*PM25AT[4]+(AOCIJ[0]-APOCI[1])*PM25AC[4],ugC/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
72,pm25rd,AECIJ[0]+APOCIJ[0]+0.01*ASO4IJ[0],ug/m3,,2010-01-01 00:00:00,2011-01-01 00:00:00,hour;day;7day;14day,max;avg
93,pm25_so4,ASO4I[1]*PM25AT[4]+ASO4J[1]*PM25AC[4]+ASO4K[1]*PM25CO[4],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
92,pm25_soil,ASOILJ[0]*PM25AC[4]+(ASOIL[1]+ACORS[1])*PM25CO[4],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
94,pm25_tot,ATOTI[0]*PM25AT[4]+ATOTJ[0]*PM25AC[4]+ATOTK[0]*PM25CO[4],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
95,pm25_unspec1,PM25_TOT[0]-(PM25_CL[0]+PM25_EC[0]+PM25_NA[0]+PM25_NH4[0]+PM25_NO3[0]+PM25_OC[0],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
96,pmc_cl,ACLI[1]+ACLJ[1]+ACLK[1]-PM25_CL[0],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
97,pmc_na,ANAIJ[0]+ANAK[0]*0.78-PM25_NA[0],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
98,pmc_nh4,ANH4I[1]+ANH4J[1]+ANH4K[1]-PM25_NH4[0],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
99,pmc_no3,ANO3I[1]+ANO3J[1]+ANO3K[1]-PM25_NO3[0],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
100,pmc_so4,ASO4I[1]+ASO4J[1]+ASO4K[1]-PM25_SO4[0],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
101,pmc_tot,PM10[0]-PM25_TOT[0],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
67,pmij,ATOTI[0]+ATOTJ[0],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
123,pmij_frm,PMIJ[0]-(ANO3IJ_loss[0]+ANH4IJ_loss[0])+0.24*(ASO4IJ[0]+ANH4IJ[0]-ANH4IJ_loss[0],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
108,precip,RN[5]+RC[5],cm,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
104,rh,100.00*RH[4],%,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
105,sfc_tmp,(TEMP2[5]-273.15),C,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
28,so2,1000.0*SO2[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
29,so2_ugm3,1000.0*(SO2[1]*2.2118*DENS[2]),ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
107,sol_rad,RGRND[5],WATTS/m2,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
117,sqrt_ki,sqrt(RH[0]<=61 ? K[0] : K_prime[0]),ppb,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
30,sulf,1000.0*SULF[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
31,terp,1000.0*TERP[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
79,tno3,2175.6*(HNO3[1]*DENS[3])+ANO3I[1]+ANO3J[1]+ANO3K[1],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
32,tol,1000.0*TOL[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
33,voc,1000.0*(PAR[1]+2.0*ETH[1]+2.0*ETOH[1]+2.0*OLE[1]+7.0*TOL[1]+8.0*XYL[1]+FORM[1]+2,ppbC,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
110,wdir10,WDIR10[5],deg,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
109,wspd10,WSPD10[5],m/s,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
34,xyl,1000.0*XYL[1],ppbV,,2010-01-01 00:00:00,2011-01-01 00:00:00,hour;day;7day;14day,max;avg
77,xylmn,1000.0*XYLMN[1],ppbV,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
